# 大辞林第二版 EPWING (EBWin用Large版)
#	Author	:	hishida
#	Date	:	Ver.2.0	2007.9.27	全漢字対応版
#
#	※当ファイルはDAIJIRIN.mapのUTF-8テキスト版です。
#
#	◎このファイルの見方
#		GAIJI	EPWINGの外字(書籍定義文字)です。hXXXXは半角、zXXXXは全角を表します。
#		unicode	対応するUnicodeです。uXXXX(16進数)で表記します。
#			2文字以上の合字の場合、uXXXX,uXXXXのようにカンマ区切りで続けて記述します。
#		ascii	Unicodeが定義されない場合の代替文字です。EBWinではクリップボードコピーで使用します。
#		#で始まる行はコメントです。行内の # から末尾まではコメントです。
#		(未使用)	『大辞林』本文中で出現しない未使用の外字です。
#
#	◎外字調査について
#		使用したCD-ROMは、『三省堂 スーパー大辞林 CD-ROM』です。
#		全角外字1499文字中、『大辞林』本文に現れる1369文字を調査しました。
#
#		Unicodeが見つけられなかった漢字は × を付記しています。
#		CJK漢字拡張-Aの文字は (Ext-A)、CJK漢字拡張-Bの文字は (Ext-B)とコメントしています。
#		(Ext-A)*、(Ext-B)* のように*のついた文字は、JIS2004に収録されているため、
#		MSゴシック・明朝ver5.0やメイリオフォント環境なら表示することができます。
#		CJK漢字拡張-A,Bの全ての文字を表示するには、MingLiU-ExtBなどのフォントが必要です。
#
#	◎二次使用について
#		このファイルの一部、または全部を、自由に改変、再利用、再配布することを許可します。
#
#	◎使用上の注意
#		WindowsXP SP2のMS UI Gothicでの使用を想定しています。
#		MS UI Gothicに収録されていない文字はコメントにしています。



#ebcode	unicode	ascii	#	char	comment
zA132	u536C		#	卬	
zA133	u5393		#	厓	
zA134	u53B2		#	厲	
zA135	u544D		#	呍	
zA136	u5427		#	吧	
zA137	u549C		#	咜	
zA138	u546B		#	呫	
zA139	u5466		#	呦	
zA13A	u54BF		#	咿	
zA13B	u54A9		#	咩	
zA13C	u54FF		#	哿	
zA13D	u552B		#	唫	
zA13E	u5608		#	嘈	
zA13F	u563B		#	嘻	
zA140	u566F		#	噯	
zA141	u5672		#	噲	
zA142	u569A		#	嚚	
zA143	u56AC		#	嚬	
zA144	u570A		#	圊	
zA145	u572F		#	圯	
zA146	u574C		#	坌	
zA147	u57F8		#	埸	
zA148	u57F6		#	埶	
zA149	u57E4		#	埤	
zA14A	u58D4		#	壔	
zA14B	u58E0		#	壠	
zA14C	u58DA		#	壚	
zA14D	u8641		#	虁	
zA14E	u595D		#	奝	
zA14F	u596D		#	奭	
zA150	u59D2		#	姒	
zA151	u5A65		#	婥	
zA152	u5A55		#	婕	
zA153	u5B7C		#	孼	
zA154	u5C2B		#	尫	
zA155	u5C69		#	屩	
zA156	u5D27		#	崧	
zA157	u5D46		#	嵆	
zA158	u5DA0		#	嶠	
zA159	u5DB8		#	嶸	
zA15A	u5E58		#	幘	
zA15B	u5EBE		#	庾	
zA15C	u9F90		#	龐	
zA15D	u5F07		#	弇	
zA15E	u5F40		#	彀	
zA15F	u5F50		#	彐	
zA160	u5F64		#	彤	
zA161	u5F89		#	徉	
zA162	u5F9C		#	徜	
zA163	u5FA7		#	徧	
zA164	u5FC9		#	忉	
zA165	u5FFC		#	忼	
zA166	u5FE1		#	忡	
zA167	u6035		#	怵	
zA168	u609D		#	悝	
zA169	u60DB		#	惛	
zA16A	u60D5		#	惕	
zA16B	u60D9		#	惙	
zA16C	u60F2		#	惲	
zA16D	u6137		#	愷	
zA16E	u6215		#	戕	
zA16F	u6243		#	扃	
zA170	u6251		#	扑	
zA171	u62D6		#	拖	
zA172	u62C4		#	拄	
zA173	u6343		#	捃	
zA174	u6339		#	挹	
zA175	u6479		#	摹	
zA176	u649D		#	撝	
zA177	u64BF		#	撿	
zA178	u6631		#	昱	
zA179	u6661		#	晡	
zA17A	u7699		#	皙	
zA17B	u814A		#	腊	
zA17C	u81CF		#	臏	
zA17D	u6747		#	杇	
zA17E	u6798		#	枘	
zA221	u677B		#	杻	
zA222	u68F0		#	棰	
zA223	u68D6		#	棖	
zA224	u6968		#	楨	
zA225	u6963		#	楣	
zA226	u6A5B		#	橛	
zA227	u6AEC		#	櫬	
zA228	u6B1B		#	欛	
zA229	u6B46		#	歆	
zA22A	u6B82		#	殂	
zA22B	u6BAD		#	殭	
zA22C	u6BF1		#	毱	
zA22D	u6C05		#	氅	
zA22E	u6C10		#	氐	
zA22F	u6C33		#	氳	
zA230	u6DFC		#	淼	
zA231	u6C85		#	沅	
zA232	u6C86		#	沆	
zA233	u6C74		#	汴	
zA234	u6C94		#	沔	
zA235	u6CEB		#	泫	
zA236	u6CEE		#	泮	
zA237	u6D04		#	洄	
zA238	u6D0E		#	洎	
zA239	u6D2E		#	洮	
zA23A	u6D65		#	浥	
zA23B	u6DC4		#	淄	
zA23C	u6DBF		#	涿	
zA23D	u6DDD		#	淝	
zA23E	u6E5C		#	湜	
zA23F	u6E27		#	渧	
zA240	u6EC3		#	滃	
zA241	u6F2A		#	漪	
zA242	u6F1A		#	漚	
zA243	u6F33		#	漳	
zA244	u6F8C		#	澌	
zA245	u7006		#	瀆	
zA246	u705D		#	灝	
zA247	u7064		#	灤	
zA248	u704E		#	灎	
zA249	u70AB		#	炫	
zA24A	u70B7		#	炷	
zA24B	u712E		#	焮	
zA24C	u7120		#	焠	
zA24D	u715C		#	煜	
zA24E	u7147		#	煇	
zA24F	u7146		#	煆	
zA250	u7168		#	煨	
zA251	u7185		#	熅	
zA252	u7192		#	熒	
zA253	u7187		#	熇	
zA254	u71B3		#	熳	
zA255	u71CB		#	燋	
zA256	u71C1		#	燁	
zA257	u71FE		#	燾	
zA258	u51DE		#	凞	
zA259	u7253		#	牓	
zA25A	u7255		#	牕	
zA25B	u7256		#	牖	
zA25C	u728D		#	犍	
zA25D	u729B		#	犛	
zA25E	u7328		#	猨	
zA25F	u7350		#	獐	
zA260	u7377		#	獷	
zA261	u737C		#	獼	
zA262	u7395		#	玕	
zA263	u73C9		#	珉	
zA264	u7426		#	琦	
zA265	u741A		#	琚	
zA266	u7428		#	琨	
zA267	u7486		#	璆	
zA268	u7489		#	璉	
zA269	u749F		#	璟	
zA26A	u74A3		#	璣	
zA26B	u7498		#	璘	
zA26C	u74A8		#	璨	
zA26D	u74BF		#	璿	
zA26E	u74DA		#	瓚	
zA26F	u754E		#	畎	
zA270	u75C0		#	痀	
zA271	u75E4		#	痤	
zA272	u7616		#	瘖	
zA273	u762D		#	瘭	
zA274	u769E		#	皞	
zA275	u76CE		#	盎	
zA276	u76CC		#	盌	
zA277	u76EC		#	盬	
zA278	u76FC		#	盼	
zA279	u771A		#	眚	
zA27A	u7719		#	眙	
zA27B	u7762		#	睢	
zA27C	u775F		#	睟	
zA27D	u775C		#	睜	
zA27E	u777D		#	睽	
zA321	u77F0		#	矰	
zA322	u77FB		#	矻	
zA323	u782D		#	砭	
zA324	u786E		#	确	
zA325	u78C8		#	磈	
zA326	u78F7		#	磷	
zA327	u7998		#	禘	
zA328	u79D4		#	秔	
zA329	u7A85		#	窅	
zA32A	u7AA0		#	窠	
zA32B	u7AAC		#	窬	
zA32C	u7AB3		#	窳	
zA32D	u7AFD		#	竽	
zA32E	u7B60		#	筠	
zA32F	u7C0B		#	簋	
zA330	u7C20		#	簠	
zA331	u7C6E		#	籮	
zA332	u7CD7		#	糗	
zA333	u7CD5		#	糕	
zA334	u7CDD		#	糝	
zA335	u7D08		#	紈	
zA336	u7D13		#	紓	
zA337	u7D47		#	絇	
zA338	u7D53		#	絓	
zA339	u7D5C		#	絜	
zA33A	u7D7A		#	絺	
zA33B	u7D88		#	綈	
zA33C	u7DC2		#	緂	
zA33D	u7E08		#	縈	
zA33E	u7E15		#	縕	
zA33F	u7E11		#	縑	
zA340	u7E20		#	縠	
zA341	u7E1D		#	縝	
zA342	u7E47		#	繇	
zA343	u7E52		#	繒	
zA344	u7E73		#	繳	
zA345	u7F7D		#	罽	
zA346	u7F7E		#	罾	
zA347	u7FDF		#	翟	
zA348	u7FEC		#	翬	
zA349	u8026		#	耦	
zA34A	u8071		#	聱	
zA34B	u8274		#	艴	
zA34C	u828E		#	芎	
zA34D	u82B7		#	芷	
zA34E	u82AE		#	芮	
zA34F	u82FE		#	苾	
zA350	u8300		#	茀	
zA351	u8347		#	荇	
zA352	u8343		#	荃	
zA353	u8398		#	莘	
zA354	u84AF		#	蒯	
zA355	u84F0		#	蓰	
zA356	u8553		#	蕓	
zA357	u8559		#	蕙	
zA358	u855E		#	蕞	
zA359	u8564		#	蕤	
zA35A	u858F		#	薏	
zA35B	u85FF		#	藿	
zA35C	u8610		#	蘐	
zA35D	u8657		#	虗	
zA35E	u8662		#	虢	
zA35F	u866C		#	虬	
zA360	u866F		#	虯	
zA361	u867A		#	虺	
zA362	u8691		#	蚑	
zA363	u86B1		#	蚱	
zA364	u870B		#	蜋	
zA365	u8758		#	蝘	
zA366	u8765		#	蝥	
zA367	u8788		#	螈	
zA368	u87AD		#	螭	
zA369	u8832		#	蠲	
zA36A	u88CA		#	裊	
zA36B	u88DB		#	裛	
zA36C	u8930		#	褰	
zA36D	u88AA		#	袪	
zA36E	u88CE		#	裎	
zA36F	u88F1		#	裱	
zA370	u891A		#	褚	
zA371	u89D4		#	觔	
zA372	u89D6		#	觖	
zA373	u89F3		#	觳	
zA374	u8A15		#	訕	
zA375	u8A22		#	訢	
zA376	u8A58		#	詘	
zA377	u8A61		#	詡	
zA378	u8A79		#	詹	
zA379	u8ABE		#	誾	
zA37A	u8C68		#	豨	
zA37B	u8C73		#	豳	
zA37C	u8C92		#	貒	
zA37D	u8CD9		#	賙	
zA37E	u8D1B		#	贛	
zA421	u8DCE		#	跎	
zA422	u8DD7		#	跗	
zA423	u8E20		#	踠	
zA424	u8E14		#	踔	
zA425	u8E3D		#	踽	
zA426	u8E62		#	蹢	
zA427	u8F1E		#	輞	
zA428	u8F2D		#	輭	
zA429	u8F36		#	輶	
zA42A	u8F54		#	轔	
zA42B	u8FA7		#	辧	
zA42C	u8FB5		#	辵	
zA42D	uFA66		#	辶	一点しんにょう
zA42E	u8FB6		#	辶	二点しんにょう
zA42F	u8FE4		#	迤	
zA430	u9085		#	邅	
zA431	u9088		#	邈	
zA432	u909B		#	邛	
zA433	u90A2		#	邢	
zA434	u90B3		#	邳	
zA435	u90C5		#	郅	
zA436	u9127		#	鄧	
zA437	u9131		#	鄱	
zA438	u9134		#	鄴	
zA439	u9148		#	酈	
zA43A	u915B		#	酛	
zA43B	u9164		#	酤	
zA43C	u9174		#	酴	
zA43D	u9183		#	醃	
zA43E	u919E		#	醞	
zA43F	u91AE		#	醮	
zA440	u91C3		#	釃	
zA441	u91D7		#	釗	
zA442	u9210		#	鈐	
zA443	u9207		#	鈇	
zA444	u924F		#	鉏	
zA445	u9278		#	鉸	
zA446	u9288		#	銈	
zA447	u9348		#	鍈	
zA448	u93DC		#	鏜	
zA449	u9432		#	鐲	
zA44A	u944A		#	鑊	
zA44B	u9463		#	鑣	
zA44C	u9592		#	閒	
zA44D	u959F		#	閟	
zA44E	u95A9		#	閩	
zA44F	u95BD		#	閽	
zA450	u95D3		#	闓	
zA451	u95D0		#	闐	
zA452	u95DA		#	闚	
zA453	u95DE		#	闞	
zA454	u963C		#	阼	
zA455	u9658		#	陘	
zA456	u9684		#	隄	
zA457	u96D2		#	雒	
zA458	u96DE		#	雞	
zA459	u96E9		#	雩	
zA45A	u975B		#	靛	
zA45B	u9773		#	靳	
zA45C	u97BA		#	鞺	
zA45D	u97DE		#	韞	
zA45E	u97DB		#	韛	
zA45F	u97E1		#	韡	
zA460	u982B		#	頫	
zA461	u9852		#	顒	
zA462	u9853		#	顓	
zA463	u9857		#	顗	
zA464	u9865		#	顥	
zA465	u98BA		#	颺	
zA466	u98E5		#	飥	
zA467	u9916		#	餖	
zA468	u993C		#	餼	
zA469	u993B		#	餻	
zA46A	u9958		#	饘	
zA46B	u99D4		#	駔	
zA46C	u99D9		#	駙	
zA46D	u9A03		#	騃	
zA46E	u9A36		#	騶	
zA46F	u9A38		#	騸	
zA470	u9B5E		#	魞	
zA471	u9B8F		#	鮏	
zA472	u9BC1		#	鯁	
zA473	u9C36		#	鰶	
zA474	u9D1E		#	鴞	
zA475	u9D77		#	鵷	
zA476	u9D70		#	鵰	
zA477	u9DC3		#	鷃	
zA478	u9EA8		#	麨	
zA479	u9EBC		#	麼	
zA47A	u9EE7		#	黧	
zA47B	u9F02		#	鼂	
zA47C	u9F2F		#	鼯	
zA47D	u9F41		#	齁	
zA47E	u9F57		#	齗	
zA521	u9F94		#	龔	
zA522	u6365		#	捥	
zA523	u6964		#	楤	
zA524	u4E30		#	丰	異体字?
zA525	-		#		(未使用)
zA526	u630A		#	挊	
zA527	u825C		#	艜	
zA528	u6852		#	桒	
zA529	-		#		草書
zA52A	-		#		草書
zA52B	u4E8D		#	亍	
zA52C	u4EB9		#	亹	
zA52D	u511E		#	儞	
zA52E	u5041		#	偁	
zA52F	u5103		#	儃	
zA530	u4F6A		#	佪	
zA531	u510B		#	儋	
zA532	u5108		#	儈	
zA533	u4F92		#	侒	
zA534	u4F77		#	佷	
zA535	u4F0B		#	伋	
zA536	u509C		#	傜	
zA537	u6DF8		#	淸	
zA538	u537A		#	卺	
zA539	u5212		#	划	
zA53A	u52D1		#	勑	
zA53B	u5307		#	匇	
zA53C	u5303		#	匃	
zA53D	u531C		#	匜	
zA53E	-		#		「世」の異体字 
zA53F	u55E2		#	嗢	
zA540	u56C9		#	囉	
zA541	u553D		#	唽	
zA542	u5695		#	嚕	
zA543	u5671		#	噱	
zA544	u563D		#	嘽	
zA545	u569E		#	嚞	
zA546	u5581		#	喁	
zA547	u565E		#	噞	
zA549	u54EF		#	哯	
zA54A	u56A9		#	嚩	
zA54B	u5588		#	喈	
zA54D	u6677		#	晷	
zA54E	u53F5		#	叵	
zA54F	u55E9		#	嗩	
zA550	u598B		#	妋	
zA551	u5A2D		#	娭	
zA552	u5ADA		#	嫚	
zA553	u5B17		#	嬗	
zA555	u5A13		#	娓	
zA556	u59DE		#	姞	
zA558	u5B41		#	孁	
zA559	u5804		#	堄	
zA55A	u57FF		#	埿	
zA55C	u574D		#	坍	
zA55D	u57B8		#	垸	
zA55E	u5745		#	坅	
zA55F	u5777		#	坷	
zA560	u58CE		#	壎	
zA561	u5864		#	塤	
zA562	u5820		#	堠	
zA563	u58AA		#	墪	
zA564	u57CF		#	埏	
zA565	u5AB3		#	媳	
zA566	u5889		#	墉	
zA567	u5768		#	坨	
zA568	u5729		#	圩	
zA569	u5C30		#	尰	
zA56A	u5C5F		#	屟	
zA56B	u5C63		#	屣	
zA56D	u5F02		#	异	異体字? 已/廾
zA56F	u5CBA		#	岺	
zA570	u5C8F		#	岏	
zA571	u5DCB		#	巋	
zA572	u5DD1		#	巑	
zA573	u5E14		#	帔	
zA574	u5E49		#	幉	
zA575	u5E12		#	帒	
zA576	u5E5E		#	幞	
zA578	u5F47		#	彇	
zA579	u5F23		#	弣	
zA57A	u5F36		#	弶	
zA57B	u5F3D		#	弽	
zA57C	u5EAA		#	庪	
