# 大辞林第二版 EPWING (EBWin用Large版)
#	Author	:	hishida
#	Date	:	Ver.2.0	2007.9.27	全漢字対応版
#
#	※当ファイルはDAIJIRIN.mapのUTF-8テキスト版です。
#
#	◎このファイルの見方
#		GAIJI	EPWINGの外字(書籍定義文字)です。hXXXXは半角、zXXXXは全角を表します。
#		unicode	対応するUnicodeです。uXXXX(16進数)で表記します。
#			2文字以上の合字の場合、uXXXX,uXXXXのようにカンマ区切りで続けて記述します。
#		ascii	Unicodeが定義されない場合の代替文字です。EBWinではクリップボードコピーで使用します。
#		#で始まる行はコメントです。行内の # から末尾まではコメントです。
#		(未使用)	『大辞林』本文中で出現しない未使用の外字です。
#
#	◎外字調査について
#		使用したCD-ROMは、『三省堂 スーパー大辞林 CD-ROM』です。
#		全角外字1499文字中、『大辞林』本文に現れる1369文字を調査しました。
#
#		Unicodeが見つけられなかった漢字は × を付記しています。
#		CJK漢字拡張-Aの文字は (Ext-A)、CJK漢字拡張-Bの文字は (Ext-B)とコメントしています。
#		(Ext-A)*、(Ext-B)* のように*のついた文字は、JIS2004に収録されているため、
#		MSゴシック・明朝ver5.0やメイリオフォント環境なら表示することができます。
#		CJK漢字拡張-A,Bの全ての文字を表示するには、MingLiU-ExtBなどのフォントが必要です。
#
#	◎二次使用について
#		このファイルの一部、または全部を、自由に改変、再利用、再配布することを許可します。
#
#	◎使用上の注意
#		WindowsXP SP2のMS UI Gothicでの使用を想定しています。
#		MS UI Gothicに収録されていない文字はコメントにしています。



#ebcode	unicode	ascii	#	char	comment
zAF3E	-		#		(未使用)
zAF3F	-		#		(未使用)
zAF40	-		#		(未使用)
zAF41	-		#		(未使用)
zAF42	-		#		(未使用)
zAF43	-		#		(未使用)
zAF44	-		#		(未使用)
zAF45	-		#		(未使用)
zAF46	-		#		(未使用)
zAF47	-		#		(未使用)
zAF48	-		#		(未使用)
zAF49	-		#		(未使用)
zAF4A	-		#		(未使用)
zAF4B	-		#		(未使用)
zAF4C	-		#		(未使用)
zAF4D	-		#		(未使用)
zAF4E	-		#		(未使用)
zAF4F	-		#		(未使用)
zAF50	-		#		(未使用)
zAF51	-		#		(未使用)
zAF52	-		#		(未使用)
zAF53	-		#		(未使用)
zAF54	-		#		(未使用)
zAF55	-		#		(未使用)
zAF56	-		#		(未使用)
zAF57	-		#		(未使用)
zAF58	-		#		(未使用)
zAF59	-		#		(未使用)
zAF5A	-		#		(未使用)
zAF5B	-		#		(未使用)
zAF5C	-		#		(未使用)
zAF5D	-		#		(未使用)
zAF5E	-		#		(未使用)
zAF5F	-		#		(未使用)
zAF60	-		#		(未使用)
zAF61	-		#		(未使用)
zAF62	-		#		(未使用)
zAF63	-		#		(未使用)
zAF64	-		#		(未使用)
zAF65	-		#		(未使用)
zAF66	-		#		(未使用)
zAF67	-		#		(未使用)
zAF68	-		#		(未使用)
zAF69	-		#		(未使用)
zAF6A	-		#		(未使用)
zAF6B	-		#		(未使用)
zAF6C	-		#		(未使用)
zAF6D	-		#		(未使用)
zAF6E	-		#		(未使用)
zAF6F	-		#		(未使用)
zAF70	-		#		(未使用)
zAF71	-		#		(未使用)
zAF72	-		#		(未使用)
zAF73	-		#		(未使用)
zAF74	-		#		(未使用)
zAF75	-		#		(未使用)
zAF76	-		#		(未使用)
zAF77	-		#		(未使用)
zAF78	-		#		(未使用)
zAF79	-		#		(未使用)
zAF7A	-		#		(未使用)
zAF7B	-		#		(未使用)
zAF7C	-		#		(未使用)
zAF7D	-		#		(未使用)
zAF7E	-		#		(未使用)
zB021	-		#		(未使用)
zB022	-		#		(未使用)
zB023	-		#		(未使用)
zB024	-		#		(未使用)
zB025	-		#		(未使用)
zB026	-		#		(未使用)
zB027	-		#		(未使用)
zB028	-		#		(未使用)
zB029	-		#		(未使用)
zB02A	-		#		(未使用)
zB02B	-		#		(未使用)
zB02C	-		#		(未使用)
zB02D	-		#		(未使用)
zB02E	-		#		(未使用)
zB02F	-		#		(未使用)
zB030	-		#		(未使用)
zB031	-		#		(未使用)
zB032	-		#		卦を表す横段。（陰）
zB033	-		#		卦を表す横段。（陽）
zB034	u2630		#	☰	
zB035	u2637		#	☷	
zB036	u2631		#	☱	
zB037	u2632		#	☲	
zB038	u2634		#	☴	
zB039	u2635		#	☵	
zB03A	u2636		#	☶	
zB03B	-		#	〳	u3033
zB03C	-		#	〴	u3034
zB03D	-		#	〵	u3035
zB03E	-		#	〻	u303B 二の字点
zB03F	-		#		複十字
zB040	u2109		#	℉	
zB041	u303D		#	〽	いおりてん
zB042	u534D		#	卍	
zB043	u2668		#	♨	温泉マーク
zB044	u2660		#	♠	
zB045	u2665		#	♥	
zB046	-		#		フェルマータ
zB047	-		#		オンス
zB048	-		#		ホの異体文字
zB049	-		#		いおりてん 
zB04A	u2669		#	♩	
zB04B	-		#		ダルセーニョ 
zB04C	-		#		重嬰記号
zB04D	u2776	(1)	#	❶	
zB04E	u2777	(2)	#	❷	
zB04F	u2778	(3)	#	❸	
zB050	u2779	(4)	#	❹	
zB051	u277A	(5)	#	❺	
zB052	u277B	(6)	#	❻	
zB053	u277C	(7)	#	❼	
zB054	u277D	(8)	#	❽	
zB055	u277E	(9)	#	❾	
zB056	u277F	(10)	#	❿	
zB057	u24EB	(11)	#	⓫	
zB058	u24EC	(12)	#	⓬	
zB059	u24ED	(13)	#	⓭	
zB05A	u24EE	(14)	#	⓮	
zB05B	u24EF	(15)	#	⓯	
zB05C	u24F0	(16)	#	⓰	
zB05D	u24F1	(17)	#	⓱	
zB05E	u24F2	(18)	#	⓲	
zB05F	u24F3	(19)	#	⓳	
zB060	-		#		小さい「ゑ」
zB061	-	ガ	#		小さい文字
zB062	-		#		(未使用)
zB063	-		#		(未使用)
zB064	-		#		(未使用)
zB065	-	ト	#		小さい文字
zB066	u30CE	ノ	#	ノ	小さい文字
zB067	-		#		(未使用)
zB068	-	ミ	#		
zB069	-		#		(未使用)
zB06A	-	ロ	#		
zB06B	u30F0		#	ヰ	
zB06C	-	ン	#		
zB06D	-		#		(未使用)
zB06E	-		#		(未使用)
zB06F	-		#		(未使用)
zB070	-		#		(未使用)
zB071	-		#		(未使用)
zB072	-		#		(未使用)
zB073	-		#		(未使用)
zB074	-		#		(未使用)
zB075	-		#		(未使用)
zB076	-		#		(未使用)
zB077	u33CB		#	㏋	HP
zB078	-	(〒)	#		▽〒
zB079	-	(〒)	#		○〒


# CJK拡張漢字A *-JIS2004にある文字					
#zA577	u385C		#	[巾+祭]	(Ext-A)*
#zA62E	u3E05		#	㸅	(Ext-A)*
#zA85E	u47FD		#	䟽	(Ext-A)*
#zA86D	u496B		#	䥫	(Ext-A)
#zA940	u3BB6		#	[木+朔]	(Ext-A)*
#zAA2F	u4207		#	[竹/卓]	(Ext-A)*
#zAA30	u41EE		#	[竹/任]	(Ext-A)*
#zAC49	u4BCA		#	[骨+可]	(Ext-A)*
#zAC4F	u4CD1		#	䳑	(Ext-A)*
#zAD57	u3FAE		#	㾮	(Ext-A)*
#zAE50	u3402		#	㐂	(Ext-A)*

# CJK拡張漢字B *-JIS2004にある文字					
#zA548	u20D45		#	[口+花]	(Ext-B)*
#zA54C	u20E95		#	[口+留]	(Ext-B)*
#zA554	u21742		#	[女+壯]	(Ext-B)*
#zA55B	u2146E		#	[土+塞]	(Ext-B)*
#zA56C	u21C56		#	[尸+朱]	(Ext-B)*
#zA57E	u22DE1		#	[扌+丙丙/木]	(Ext-B)*
#zA648	u24096		#	[さんずい+影]	(Ext-B)*
#zA73F	u2344A		#	[木+在]	(Ext-B)*
#zA751	u233D5		#	[木+朮]	(Ext-B)*
#zA756	u285C8		#	[辶+景]	(Ext-B)*
#zA772	u25122		#	[目+木]	(Ext-B)*
#zA776	u25241		#	[目目/夰]	(Ext-B)
#zA77B	u27631		#	[ころもへん+比]	(Ext-B)*
#zA829	u25EE8		#	[米+索]	(Ext-B)*
#zA82A	u2600C		#	[糸+如]	(Ext-B)*
#zA83F	u273DB		#	[討/虫]	(Ext-B)*
#zA842	u2A190		#	[集+鳥]	(Ext-B)*
#zA848	u2A0F9		#	[即/鳥]	(Ext-B)*
#zA94B	u2370C		#	[木+鼠]	(Ext-B)*
#zA976	u27684		#	[ころもへん+我]	(Ext-B)*
#zAA2A	u25AF1		#	[竹/屯]	(Ext-B)*
#zAA48	u25FE0		#	[糸+布]	(Ext-B)*
#zAA55	u27410		#	[虫+責]	(Ext-B)*
#zAA6A	u28D66		#	[門+楡-木]	(Ext-B)
#zAA6D	u28AE4		#	[金+通]	(Ext-B)*
#zAB5A	u223F3		#	[弓+幷]	(Ext-B)
#zAB71	u24B6F		#	[瓦+泉]	(Ext-B)*
#zAB73	u246A5		#	[牟+含]	(Ext-B)*
#zAC26	u25771		#	[禾+予]	(Ext-B)*
#zAC30	u26A1E		#	[舟+元]	(Ext-B)*
#zAC53	u2A01A		#	[鳥+戎]	(Ext-B)*
#zAD24	u26B07		#	[艸/廾]	(Ext-B)
#zAD51	u2726B		#	[虫+囗又]	(Ext-B)
#zAD59	u24E0E		#	[疒+曷]	(Ext-B)*
#zAD62	u283CD		#	[車+火火/宋]	(Ext-B)*
#zAD69	u292B1		#	[革+毎]	(Ext-B)*
#zAD6A	u292A0		#	[革+光]	(Ext-B)*
#zAD6E	u29E2D		#	[魚+戻]	(Ext-B)
#zAD73	u29E3D		#	[魚+花]	(Ext-B)*
#zAD78	u29E8A		#	[魚+荒]	(Ext-B)*

# 不明文字					

zA557	-		#×	[女+兮]	
zA56E	-		#×	[艸/廾、]	ささてんぼだい
zA67A	-		#×	[莭-卩]	&M065576;
zA739	-		#×	[木匨]	
zA752	-		#×	[木惡]	
zA840	-		#×	[虫+蚤]	
zA84D	-		#×	[飠+鳥]	
zA85B	-		#×	[金+丘]	&M065817;
zAB4B	-		#×	[縁-糸]	彖?
zAC31	-		#×	[舟+若]	&M065553;
zAC7C	-		#×	[茴-口+甫]	
zAC7E	-		#×	[艹/云]	
zAD6C	-		#×	[魚+近]	&M066003;
zAE2B	-		#×	[鹿+子]	&M066106;
